2018-11-08 12:41:57.4552 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
2018-11-08 12:41:57.4746 | DEBUG | Logger | AddingProjectWithMethFromTest1
2018-11-08 12:41:57.4746 | DEBUG | Logger | Failed
2018-11-08 12:42:45.3003 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
2018-11-08 12:42:45.3201 | DEBUG | Logger | AddingProjectWithMethFromTest1
2018-11-08 12:42:45.3201 | DEBUG | Logger | Failed
2018-11-08 13:03:03.1632 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 13:03:03.1831 | DEBUG | Logger | SelectReportTemplate
2018-11-08 13:03:03.1831 | DEBUG | Logger | Passed
2018-11-08 13:09:06.9770 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 13:09:06.9968 | DEBUG | Logger | SelectReportTemplate
2018-11-08 13:09:06.9968 | DEBUG | Logger | Passed
2018-11-08 13:09:14.7879 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 13:09:14.8062 | DEBUG | Logger | SelectReportTemplate
2018-11-08 13:09:14.8062 | DEBUG | Logger | Passed
2018-11-08 13:10:31.2437 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 13:10:31.2615 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:10:31.2615 | DEBUG | Logger | Passed
2018-11-08 13:11:21.8967 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 13:11:21.9155 | DEBUG | Logger | AddMethodologiesPageOpened_Get
2018-11-08 13:11:21.9155 | DEBUG | Logger | Passed
2018-11-08 13:11:22.8618 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 13:11:22.8633 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:11:22.8633 | DEBUG | Logger | Passed
2018-11-08 13:11:24.4911 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:11:24.4911 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:11:24.4911 | DEBUG | Logger | Failed
2018-11-08 13:11:25.6758 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:11:25.6758 | DEBUG | Logger | CreateProject_Post
2018-11-08 13:11:25.6758 | DEBUG | Logger | Failed
2018-11-08 13:11:26.7548 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 13:11:26.7548 | DEBUG | Logger | SelectReportTemplate
2018-11-08 13:11:26.7548 | DEBUG | Logger | Passed
2018-11-08 13:11:27.9664 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:11:27.9664 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:11:27.9664 | DEBUG | Logger | Passed
2018-11-08 13:11:28.8336 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:11:28.8336 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:11:28.8336 | DEBUG | Logger | Passed
2018-11-08 13:11:29.3139 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:11:29.3139 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:11:29.3139 | DEBUG | Logger | Failed
2018-11-08 13:11:30.4897 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 13:11:30.4897 | DEBUG | Logger | GetAllProjectsAndOneRandomId
2018-11-08 13:11:30.4897 | DEBUG | Logger | Passed
2018-11-08 13:11:30.9435 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 13:11:30.9435 | DEBUG | Logger | ConfigureRandomProject_Post
2018-11-08 13:11:30.9435 | DEBUG | Logger | Passed
2018-11-08 13:11:56.5253 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:11:56.5441 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:11:56.5441 | DEBUG | Logger | Passed
2018-11-08 13:11:57.3101 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:11:57.3101 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:11:57.3101 | DEBUG | Logger | Passed
2018-11-08 13:11:57.7920 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:11:57.7920 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:11:57.7920 | DEBUG | Logger | Failed
2018-11-08 13:13:33.0089 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 13:13:33.0302 | DEBUG | Logger | AddMethodologiesPageOpened_Get
2018-11-08 13:13:33.0322 | DEBUG | Logger | Passed
